group,variable,value
harga,harga,1
harga,parkir_motor,-0.118719346
harga,kamar_tidur,0.463160976
harga,kamar_mandi,0.613626947
harga,jmlh_lantai,0.288733384
harga,luas_bangunan,0.7387929
harga,luas_tanah,0.705655283
parkir_motor,harga,-0.118719346
parkir_motor,parkir_motor,1
parkir_motor,kamar_tidur,-0.154663155
parkir_motor,kamar_mandi,-0.232079825
parkir_motor,jmlh_lantai,-0.383138835
parkir_motor,luas_bangunan,-0.216193192
parkir_motor,luas_tanah,0.144278098
kamar_tidur,harga,0.463160976
kamar_tidur,parkir_motor,-0.154663155
kamar_tidur,kamar_tidur,1
kamar_tidur,kamar_mandi,0.557968541
kamar_tidur,jmlh_lantai,0.317023908
kamar_tidur,luas_bangunan,0.606688335
kamar_tidur,luas_tanah,0.526557926
kamar_mandi,harga,0.613626947
kamar_mandi,parkir_motor,-0.232079825
kamar_mandi,kamar_tidur,0.557968541
kamar_mandi,kamar_mandi,1
kamar_mandi,jmlh_lantai,0.419551356
kamar_mandi,luas_bangunan,0.61702931
kamar_mandi,luas_tanah,0.450595424
jmlh_lantai,harga,0.288733384
jmlh_lantai,parkir_motor,-0.383138835
jmlh_lantai,kamar_tidur,0.317023908
jmlh_lantai,kamar_mandi,0.419551356
jmlh_lantai,jmlh_lantai,1
jmlh_lantai,luas_bangunan,0.433885556
jmlh_lantai,luas_tanah,0.03082476
luas_bangunan,harga,0.7387929
luas_bangunan,parkir_motor,-0.216193192
luas_bangunan,kamar_tidur,0.606688335
luas_bangunan,kamar_mandi,0.61702931
luas_bangunan,jmlh_lantai,0.433885556
luas_bangunan,luas_bangunan,1
luas_bangunan,luas_tanah,0.770329496
luas_tanah,harga,0.705655283
luas_tanah,parkir_motor,0.144278098
luas_tanah,kamar_tidur,0.526557926
luas_tanah,kamar_mandi,0.450595424
luas_tanah,jmlh_lantai,0.03082476
luas_tanah,luas_bangunan,0.770329496
luas_tanah,luas_tanah,1
